Timestamp,No,x,y,z
2025-09-03 13:28:11,335, -2484, -5564, 2364
2025-09-03 13:28:11,336, -6660, -19464, 5744
2025-09-03 13:28:11,337, -3532, -30440, 4996
2025-09-03 13:28:11,338, -4120, -29304, 6352
2025-09-03 13:28:11,339, -1896, -21132, 6848
2025-09-03 13:28:11,340, -904, -22076, 6292
2025-09-03 13:28:11,341, -1052, -13604, 4420
2025-09-03 13:28:11,342, -404, -4412, 644
2025-09-03 13:28:11,343, -2160, 6416, -72
2025-09-03 13:28:11,344, -6864, 15788, 2544
2025-09-03 13:28:12,345, -7844, 24764, 9844
2025-09-03 13:28:12,346, -6828, 26208, 14584
2025-09-03 13:28:12,347, -6264, 23116, 13516
2025-09-03 13:28:12,348, -8464, 16740, 9200
2025-09-03 13:28:12,349, -6648, 8840, 1640
2025-09-03 13:28:12,350, -3080, -4672, -504
2025-09-03 13:28:12,351, -4332, -17728, 3896
2025-09-03 13:28:12,352, 288, -27932, 5692
2025-09-03 13:28:12,353, 372, -29416, 10664
2025-09-03 13:28:12,354, 1736, -24100, 9216
2025-09-03 13:28:13,355, 1704, -20028, 5984
2025-09-03 13:28:13,356, -524, -10588, 1196
2025-09-03 13:28:13,357, -3136, -448, -984
2025-09-03 13:28:13,358, -5416, 9400, 1008
2025-09-03 13:28:13,359, -12564, 18964, 8128
2025-09-03 13:28:13,360, -14992, 32764, 7688
2025-09-03 13:28:13,361, -8016, 22948, 9280
2025-09-03 13:28:13,362, -10312, 19956, 8852
2025-09-03 13:28:13,363, -8624, 13172, 3844
2025-09-03 13:28:13,364, -8452, 2960, 1008
2025-09-03 13:28:14,365, -2948, -13920, 4088
2025-09-03 13:28:14,366, -3488, -29024, 4480
2025-09-03 13:28:14,367, -4260, -29888, 6052
2025-09-03 13:28:14,368, -1224, -28724, 8876
2025-09-03 13:28:14,369, 464, -19436, 6516
2025-09-03 13:28:14,370, -1456, -7636, 616
2025-09-03 13:28:14,371, -1068, -52, -2704
2025-09-03 13:28:14,372, -872, 11468, -728
2025-09-03 13:28:14,373, -5308, 21228, 7992
2025-09-03 13:28:15,374, -8440, 30816, 12920
2025-09-03 13:28:15,375, -7868, 26228, 11124
2025-09-03 13:28:15,376, -9116, 20684, 8296
2025-09-03 13:28:15,377, -6460, 7612, 2536
2025-09-03 13:28:15,378, 844, -5548, 540
2025-09-03 13:28:15,379, -9380, -13880, 1092
2025-09-03 13:28:15,380, -4992, -24012, 7372
2025-09-03 13:28:15,381, -3996, -27000, 6188
